,title,developers,publishers,release_date,platforms,genres,score,reviewed_by
209,Cyberpunk 2077 PC ,CD Projekt Red,"Warner Bros.  Interactive, CD Projekt",2020-12-10,"Stadia,  PlayStation 4,  Xbox One,  PC,  Xbox Series X|S,  PlayStation 5",RPG,9,Tom Marks
210,Haven ,The Game Bakers,The Game Bakers,2020-12-03,"PlayStation 5,  PC,  Xbox One,  Xbox Series X|S,  Nintendo Switch,  PlayStation 4",RPG,8,Kyle Campbell
211,Empire of Sin ,Romero Games,Paradox  Interactive,2020-12-01,"Xbox One,  PlayStation 4,  PC,  Nintendo Switch","RPG,  Strategy",4,Jonathan Bolding
212,Twin Mirror ,DONTNOD Entertainment,Bandai Namco Games,2020-12-01,"PlayStation 4,  PC,  Xbox One",Adventure,5,Tristan Ogilvie
213,Immortals Fenyx Rising ,Ubisoft Quebec City,Ubisoft,2020-12-03,"Xbox Series X|S,  PlayStation 5,  Nintendo Switch,  Stadia,  PC,  Xbox One,  PlayStation 4",Action,7,Cam Shea
214,Destiny 2: Beyond Light ,Bungie Software,Bungie Software,2020-11-10,"Xbox One,  PC,  PlayStation 4,  Xbox Series X|S,  Stadia,  PlayStation 5","RPG,  Shooter,  DLC / Expansion",7,Travis Northup
215,Sackboy: A Big Adventure ,Sumo Digital,Sony Interactive Entertainment,2020-11-12,"PlayStation 4,  PlayStation 5",Adventure,8,Tom Marks
216,Dirt 5 ,Codemasters,Codemasters,2020-11-06,"Xbox One,  PlayStation 4,  PC,  Xbox Series X|S,  PlayStation 5,  Stadia,  Luna",Racing,8,Luke Reilly
217,Fuser ,Harmonix,NCSoft,2020-11-10,"Nintendo Switch,  Xbox One,  PlayStation 4,  PC",Music,7,Jarrett Green
218,Hyrule Warriors: Age of Calamity ,Koei Tecmo,Nintendo,2020-11-20,Nintendo Switch,Action,9,Cam Shea
222,Call of Duty: Black Ops Cold War Zombies ,"Raven Software,  Treyarch",Activision,2020-11-13,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC",Shooter,7,David Jagneaux
223,Call of Duty: Black Ops Cold War Multiplayer ,"Raven Software,  Treyarch",Activision,2020-11-13,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC",Shooter,6,Simon Cardy
224,NBA 2K21 for Xbox Series X and PlayStation 5 ,"Visual Concepts,  2K Sports",2K Games,2020-11-10,"Xbox Series X|S,  PlayStation 5","Sports,  Basketball",7,Ben Vollmer
